item_id,stratum,regex_flag,event_id,event_state_all,url,sentence_index,repeat_of_item
L041,UNFLAGGED_HIGH,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0478,lab: contamination reported,https://www.detik.com/jogja/berita/d-8071965/sppg-buka-suara-soal-mbg-bikin-497-siswa-smp-kulon-progo-keracunan,51,
L042,UNFLAGGED_STRONG,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0674,lab: contamination reported,https://www.merdeka.com/peristiwa/puluhan-pelajar-di-lombok-tengah-keracunan-usai-konsumsi-susu-program-mbg-522733-mvk.html,24,
L043,UNFLAGGED_HIGH,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0533,lab: contamination reported,https://www.detik.com/jogja/berita/d-8664524/dinkes-ungkap-hasil-uji-lab-menu-pemicu-4-sd-di-bantul-keracunan-mbg,3,
L044,FLAG_CLEAN,clean,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0742,lab: result reported clean,https://www.detik.com/bali/nusra/d-8333685/dapur-mbg-di-manggarai-barat-ditutup-usai-ratusan-siswa-sd-sma-keracunan,14,
L045,UNFLAGGED_STRONG,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0153,awaiting lab / cause unknown,https://www.detik.com/kalimantan/berita/d-8342720/206-siswa-dan-guru-di-marau-ketapang-diduga-keracunan-menu-mbg,7,
L046,FLAG_CONTAMINATION,contamination,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0639,lab: contamination reported,https://www.detik.com/jatim/berita/d-8405054/penyebab-28-santri-keracunan-telur-asin-mbg-di-jombang-terungkap,1,
L047,UNFLAGGED_HIGH,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0221,awaiting lab / cause unknown,https://www.kompas.com/jawa-barat/read/2025/04/22/130503388/dinkes-periksa-dapur-mbg-di-cianjur-usai-puluhan-siswa-keracunan,10,L021
L048,FLAG_CONTAMINATION,contamination,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0648,lab: contamination reported,https://www.antaranews.com/berita/5541939/wali-kota-kediri-tegaskan-pengawasan-ketat-sppg-agar-jalankan-sop,13,
L049,FLAG_AWAITING,awaiting,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0231,awaiting lab / cause unknown,https://bandung.kompas.com/read/2026/04/27/191241278/balita-di-cianjur-meninggal-dan-sempat-konsumsi-mbg-dinkes-tunggu-hasil-uji,0,
L050,UNFLAGGED_WEAK,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0152,awaiting lab / cause unknown,https://www.detik.com/kalimantan/berita/d-8129063/dalam-keracunan-mbg-di-ketapang-menu-ikan-hiu-yang-paling-disesalkan,26,
L051,UNFLAGGED_HIGH,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0022,lab: contamination reported,https://health.detik.com/diet/d-8659295/mengenal-3-bakteri-patogen-penyebab-keracunan-mbg,56,
L052,FLAG_CONTAMINATION,contamination,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0666,lab: contamination reported,https://surabaya.kompas.com/read/2026/09/02/172302178/cari-penyebab-dugaan-keracunan-mbg-dinkes-sidoarjo-ambil-sampel-bahan,26,
L053,UNFLAGGED_HIGH,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0596,lab: contamination reported,https://surabaya.kompas.com/read/2025/10/29/161955078/siswa-korban-keracunan-mbg-di-kalipuro-banyuwangi-bertambah-jadi-133-orang,7,
L054,UNFLAGGED_WEAK,none,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0709,awaiting lab / cause unknown,https://www.cnnindonesia.com/nasional/20250924194702-20-1277380/walkot-kupang-tunggu-diagnosa-medis-soal-11-siswa-sd-keracunan-mbg,1,
