kode,provinsi_kode,provinsi,nama,lat,lng,luas_km2,penduduk
21.01,21,Kepulauan Riau,Kabupaten Bintan,1.0867044293599752,104.50214506989914,1311.868,180404
21.02,21,Kepulauan Riau,Kabupaten Karimun,1.032978125457723,103.37578135747897,916.331,273946
21.03,21,Kepulauan Riau,Kabupaten Natuna,3.923444039666034,108.3369318453504,1978.01,84325
21.04,21,Kepulauan Riau,Kabupaten Lingga,-0.2099928734471007,104.60465899766058,2173.63,101039
21.05,21,Kepulauan Riau,Kabupaten Kepulauan Anambas,3.2145458693401,106.24870240264536,620.622,50922
21.71,21,Kepulauan Riau,Kota Batam,1.1287452751793037,104.05533324230443,1020.28,1342038
21.72,21,Kepulauan Riau,Kota Tanjung Pinang,0.9653429680491279,104.44098650588683,149.634,239216
31.01,31,Daerah Khusus Ibukota Jakarta,Kabupaten Administrasi Kepulauan Seribu,-5.746480997815013,106.61316002536523,10.951,30334
31.71,31,Daerah Khusus Ibukota Jakarta,Kota Administrasi Jakarta Pusat,-6.172913263118424,106.81869625420377,47.565,1057270
31.72,31,Daerah Khusus Ibukota Jakarta,Kota Administrasi Jakarta Utara ,-6.1200283357159915,106.89249513885989,147.534,1832032
31.73,31,Daerah Khusus Ibukota Jakarta,Kota Administrasi Jakarta Barat,-6.184334501192923,106.73662053886034,125,2556752
31.74,31,Daerah Khusus Ibukota Jakarta,Kota Administrasi Jakarta Selatan,-6.247775007302514,106.80763679653259,144.942,2331411
31.75,31,Daerah Khusus Ibukota Jakarta,Kota Administrasi Jakarta Timur,-6.2136855478344994,106.9440075965323,185.538,3230417
32.01,32,Jawa Barat,Kabupaten Bogor,-6.479478948089524,106.82471731002641,2991.778,5809790
32.02,32,Jawa Barat,Kabupaten Sukabumi,-6.989164614549726,106.55022261003006,4163.824,2868943
32.03,32,Jawa Barat,Kabupaten Cianjur,-6.822746173673224,107.1394835830441,3631.969,2638825
32.04,32,Jawa Barat,Kabupaten Bandung,-7.021854779311784,107.52755122537383,1740.843,3839721
32.05,32,Jawa Barat,Kabupaten Garut,-7.202671667220667,107.88606805421097,3101.132,2851877
32.06,32,Jawa Barat,Kabupaten Tasikmalaya,-7.361038703594784,108.11307619839148,2706.972,1996059
32.07,32,Jawa Barat,Kabupaten Ciamis,-7.325899103457777,108.3514012468077,1595.936,1297783
32.08,32,Jawa Barat,Kabupaten Kuningan,-6.975864860855258,108.48310462537334,1193.449,1239999
32.09,32,Jawa Barat,Kabupaten Cirebon,-6.764528033189753,108.47861955420773,1073.772,2489046
32.10,32,Jawa Barat,Kabupaten Majalengka,-6.836270833744539,108.22755549468556,1331.553,1369569
32.11,32,Jawa Barat,Kabupaten Sumedang,-6.86120394309925,107.92061689653679,1566.204,1226660
32.12,32,Jawa Barat,Kabupaten Indramayu,-6.327080208332331,108.32320909838413,2076.266,1980080
32.13,32,Jawa Barat,Kabupaten Subang,-6.571294853262137,107.76235318119123,2168.909,1677628
32.14,32,Jawa Barat,Kabupaten Purwakarta,-6.556211845847212,107.44125672537048,993.092,1063932
32.15,32,Jawa Barat,Kabupaten Karawang,-6.301616343281738,107.30488191002529,1916.056,2612065
32.16,32,Jawa Barat,Kabupaten Bekasi,-6.247446600000001,107.14845209999999,1255.001,3387601
32.17,32,Jawa Barat,Kabupaten Bandung Barat,-6.865221399999999,107.49197670000001,1283.439,1911661
32.18,32,Jawa Barat,Kabupaten Pangandaran,-7.615061099999999,108.49882690000004,1128.122,447272
32.71,32,Jawa Barat,Kota Bogor,-6.595057464978462,106.79411231002724,111.366,1144108
32.72,32,Jawa Barat,Kota Sukabumi,-6.917619028189996,106.93185683886544,48.314,370096
32.73,32,Jawa Barat,Kota Bandung,-6.910655826355507,107.60986952537303,166.593,2591763
32.74,32,Jawa Barat,Kota Cirebon,-6.706735309782623,108.55824665420744,39.398,356629
32.75,32,Jawa Barat,Kota Bekasi,-6.2360139577925855,106.9942480407117,213.036,2572209
32.76,32,Jawa Barat,Kota Depok,-6.394166132635422,106.8226891965335,199.906,2010912
32.77,32,Jawa Barat,Kota Cimahi,-6.870807159364418,107.55515922352156,42.432,581994
32.78,32,Jawa Barat,Kota Tasikmalaya,-7.316053133091321,108.19701389654014,182.964,770839
32.79,32,Jawa Barat,Kota Banjar,-7.362161223560727,108.55958988304805,131.005,209317
33.01,33,Jawa Tengah,Kabupaten Cilacap,-7.725598913851234,109.00953989681535,2325.173,2059748
33.02,33,Jawa Tengah,Kabupaten Banyumas,-7.4227990604767795,109.23008333914095,1391.153,1868446
33.03,33,Jawa Tengah,Kabupaten Purbalingga,-7.388814420295788,109.3640761679762,805.757,1057750
33.04,33,Jawa Tengah,Kabupaten Banjarnegara,-7.395695390770286,109.69606973623053,1144.896,1071977
33.05,33,Jawa Tengah,Kabupaten Kebumen,-7.668443736529897,109.65371583117799,1333.902,1446833
33.06,33,Jawa Tengah,Kabupaten Purworejo,-7.713974600894097,110.00829855421505,1081.763,809651
33.07,33,Jawa Tengah,Kabupaten Wonosobo,-7.358331142315653,109.90516253886881,1011.623,945955
33.08,33,Jawa Tengah,Kabupaten Magelang,-7.596984026372694,110.22353113036982,1129.983,1345662
33.09,33,Jawa Tengah,Kabupaten Boyolali,-7.545656104163497,110.61059579654192,1096.613,1114070
33.10,33,Jawa Tengah,Kabupaten Klaten,-7.712385036340197,110.59213566770745,701.511,1302648
33.11,33,Jawa Tengah,Kabupaten Sukoharjo,-7.664598872152095,110.83586765421464,493.601,916472
33.12,33,Jawa Tengah,Kabupaten Wonogiri,-7.815058364755334,110.9256844677081,1905.823,1057495
33.13,33,Jawa Tengah,Kabupaten Karanganyar,-7.595516965884652,110.93964029654224,802.848,953696
33.14,33,Jawa Tengah,Kabupaten Sragen,-7.426354762546872,111.02317943886926,994.573,1023538
33.15,33,Jawa Tengah,Kabupaten Grobogan,-7.082058555310319,110.91737159653837,2023.849,1520974
33.16,33,Jawa Tengah,Kabupaten Blora,-6.969718505731454,111.41492279653751,1957.289,927961
33.17,33,Jawa Tengah,Kabupaten Rembang,-6.703466029933058,111.34262144071498,1038.32,665501
33.18,33,Jawa Tengah,Kabupaten Pati,-6.75222674353357,111.03994759653601,1576.69,1385904
33.19,33,Jawa Tengah,Kabupaten Kudus,-6.805651710957646,110.84219531187978,447.445,877821
33.20,33,Jawa Tengah,Kabupaten Jepara,-6.59009446252794,110.66812971187831,1020.124,1283687
33.21,33,Jawa Tengah,Kabupaten Demak,-6.891354614610146,110.63838933886524,970.077,1254204
33.22,33,Jawa Tengah,Kabupaten Semarang,-7.128957393445669,110.40409099653884,1019.27,1088729
33.23,33,Jawa Tengah,Kabupaten Temanggung,-7.315316457103409,110.18189242537592,864.834,822880
33.24,33,Jawa Tengah,Kabupaten Kendal,-6.922836880283628,110.20356709653716,1006.174,1094214
33.25,33,Jawa Tengah,Kabupaten Batang,-6.910710871962525,109.72968238304469,857.073,855878
33.26,33,Jawa Tengah,Kabupaten Pekalongan,-7.0250357325518875,109.59114532537376,892.578,1034241
33.27,33,Jawa Tengah,Kabupaten Pemalang,-6.893151410423199,109.38071935420861,1135.757,1601007
33.28,33,Jawa Tengah,Kabupaten Tegal,-6.995407828046843,109.12789492537367,983.713,1745278
33.29,33,Jawa Tengah,Kabupaten Brebes,-6.870110551867783,109.03921083886512,1754.77,2066426
33.71,33,Jawa Tengah,Kota Magelang,-7.50371096633142,110.22147082537745,18.558,128709
33.72,33,Jawa Tengah,Kota Surakarta,-7.569260552279098,110.82945951003452,46.802,589242
33.73,33,Jawa Tengah,Kota Salatiga,-7.33043714839692,110.5008298965402,54.983,198971
33.74,33,Jawa Tengah,Kota Semarang,-6.98167961659711,110.4122341695528,374.747,1702379
33.75,33,Jawa Tengah,Kota Pekalongan,-6.896949717498735,109.66208089653703,46.076,318221
33.76,33,Jawa Tengah,Kota Tegal,-6.8704087484501155,109.13741611002918,39.08,294477
34.01,34,Daerah Istimewa Yogyakarta,Kabupaten Kulon Progo,-7.857808676282555,110.15916128305197,576.803,444994
34.02,34,Daerah Istimewa Yogyakarta,Kabupaten Bantul,-7.886189837551494,110.3278379965447,511.527,980269
34.03,34,Daerah Istimewa Yogyakarta,Kabupaten Gunungkidul,-7.964079635059824,110.6015380965454,1475.465,776926
34.04,34,Daerah Istimewa Yogyakarta,Kabupaten Sleman,-7.71654673418279,110.35577266770737,573.749,1125571
34.71,34,Daerah Istimewa Yogyakarta,Kota Yogyakarta,-7.799905025562796,110.39137075421564,32.819,415605
35.01,35,Jawa Timur,Kabupaten Pacitan,-8.194484702033753,111.10316522606453,1434.818,588718
35.02,35,Jawa Timur,Kabupaten Ponorogo,-7.870873802089809,111.46254871373611,1418.618,979008
35.03,35,Jawa Timur,Kabupaten Trenggalek,-8.047910064122286,111.70915082348205,1249.367,753810
35.04,35,Jawa Timur,Kabupaten Tulungagung,-8.064364715839401,111.90068000547873,1144.856,1139224
35.05,35,Jawa Timur,Kabupaten Blitar,-8.12393088642822,112.21307421019162,1745.383,1261699
35.06,35,Jawa Timur,Kabupaten Kediri,-7.80216489245253,112.04111356733358,1523.563,1691976
35.07,35,Jawa Timur,Kabupaten Malang,-8.105459029077382,112.57329134091296,3473.747,2734623
35.08,35,Jawa Timur,Kabupaten Lumajang,-8.135206153280906,113.2243946381578,1796.489,1116231
35.09,35,Jawa Timur,Kabupaten Jember,-8.169670975121788,113.70215105421875,3314.358,2615874
35.10,35,Jawa Timur,Kabupaten Banyuwangi,-8.223037204830721,114.36643523941463,3593.849,1791789
35.11,35,Jawa Timur,Kabupaten Bondowoso,-7.914444581620128,113.82185071188832,1554.992,788007
35.12,35,Jawa Timur,Kabupaten Situbondo,-7.707340624354634,114.00177518305065,1654.705,691635
35.13,35,Jawa Timur,Kabupaten Probolinggo,-7.761818744749144,113.41597252537957,1725.171,1200931
35.14,35,Jawa Timur,Kabupaten Pasuruan,-7.64901246028997,112.90515909654273,1493.161,1665922
35.15,35,Jawa Timur,Kabupaten Sidoarjo,-7.447173306341014,112.71807833886932,724.766,2027874
35.16,35,Jawa Timur,Kabupaten Mojokerto,-7.462844394027845,112.43341998304892,984.38,1156144
35.17,35,Jawa Timur,Kabupaten Jombang,-7.556402096019785,112.23460958304962,1109.835,1378005
35.18,35,Jawa Timur,Kabupaten Nganjuk,-7.601982862041979,111.90189545421411,1289.067,1152575
35.19,35,Jawa Timur,Kabupaten Madiun,-7.538540959979179,111.6534826499319,1113.627,737875
35.20,35,Jawa Timur,Kabupaten Magetan,-7.656157297486492,111.32926865421445,706.444,692800
35.21,35,Jawa Timur,Kabupaten Ngawi,-7.401286050830588,111.44544266770494,1395.804,907002
35.22,35,Jawa Timur,Kabupaten Bojonegoro,-7.149935359747551,111.88154262537478,2312.627,1366227
35.23,35,Jawa Timur,Kabupaten Tuban,-6.8961044097904685,112.06506272537278,1973.515,1266396
35.24,35,Jawa Timur,Kabupaten Lamongan,-7.1210348508171615,112.41543434071801,1752.989,1367503
35.25,35,Jawa Timur,Kabupaten Gresik,-7.170587571783878,112.59967629653906,1264.009,1327497
35.26,35,Jawa Timur,Kabupaten Bangkalan,-7.046392499923124,112.73706719653809,1302.64,1042031
35.27,35,Jawa Timur,Kabupaten Sampang,-7.1875353391978205,113.23734031169953,1229.165,1033926
35.28,35,Jawa Timur,Kabupaten Pamekasan,-7.156884154270928,113.47188259653895,796.241,904965
35.29,35,Jawa Timur,Kabupaten Sumenep,-7.014033429943415,113.86352599653785,2083.048,1143002
35.71,35,Jawa Timur,Kota Kediri,-7.8121941506978585,112.0142841830517,67.232,301424
35.72,35,Jawa Timur,Kota Blitar,-8.099174292311863,112.1645539118899,33.203,161204
35.73,35,Jawa Timur,Kota Malang,-7.977788119311085,112.6338358100378,111.077,889359
35.74,35,Jawa Timur,Kota Probolinggo,-7.75367770292879,113.21423953887185,55.197,243746
35.75,35,Jawa Timur,Kota Pasuruan,-7.647370692892007,112.90855041188624,39.109,213469
35.76,35,Jawa Timur,Kota Mojokerto,-7.4628151554153925,112.43344588575034,20.48,142272
35.77,35,Jawa Timur,Kota Madiun,-7.624396873185385,111.52064916955761,36.126,201733
35.78,35,Jawa Timur,Kota Surabaya,-7.258891323638141,112.74703888119626,338.048,3018022
35.79,35,Jawa Timur,Kota Batu,-7.862516051170755,112.5133531677289,194.17,225408
36.01,36,Banten,Kabupaten Pandeglang,-6.316855430513631,106.11479446982028,2771.488,1437046
36.02,36,Banten,Kabupaten Lebak,-6.3607670885178305,106.24618699653327,3312.298,1531564
