incident_id,source_page,table_row,event_id,date_iso,date_end_iso,date_precision,date_raw,province,province_raw,kabkota,kabkota_type,kabkota_name,kabkota_kode,kabkota_kode_match,provinsi_kode,kabkota_lat,kabkota_lng,kabkota_population,kabkota_area_km2,venue,venue_level,venue_raw,symptomatic_raw,symptomatic_kind,symptomatic,symptomatic_min,symptomatic_max,symptomatic_by_subject,symptomatic_counted,deaths_raw,deaths,deaths_counted,ref_ids,source_urls,flags
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0404,id.Daftar_kasus_keracunan_massal_makan_siang_gratis,404,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0404,2025-09-23,2025-09-23,day,23 September 2025,Jawa Tengah,Jawa Tengah,Kabupaten Jepara,kabupaten,Jepara,33.20,exact,33,-6.59009446252794,110.66812971187831,1283687,1020.124,TK Melati Banjaran,early_childhood,TK Melati Banjaran,35 Siswa,exact,35,35,35,"{""student"": 35}",35,,,,"[""auto:0058da496c""]","[""https://www.suaramerdeka.com/jawa-tengah/0416003607/kasus-keracunan-di-jepara-program-makan-bergizi-gratis-tetap-jalan-pengawasan-diperketat""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0405,id.Daftar_kasus_keracunan_massal_makan_siang_gratis,405,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0404,2025-09-23,2025-09-23,day,23 September 2025,Jawa Tengah,Jawa Tengah,Kabupaten Jepara,kabupaten,Jepara,33.20,exact,33,-6.59009446252794,110.66812971187831,1283687,1020.124,Kelompok Bermain Darul Karomah Srikandang,,Kelompok Bermain Darul Karomah Srikandang,35 Siswa,exact,35,35,35,"{""student"": 35}",,,,,"[""auto:0058da496c""]","[""https://www.suaramerdeka.com/jawa-tengah/0416003607/kasus-keracunan-di-jepara-program-makan-bergizi-gratis-tetap-jalan-pengawasan-diperketat""]","[""count_shared_across_rows""]"
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0406,id.Daftar_kasus_keracunan_massal_makan_siang_gratis,406,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0404,2025-09-23,2025-09-23,day,23 September 2025,Jawa Tengah,Jawa Tengah,Kabupaten Jepara,kabupaten,Jepara,33.20,exact,33,-6.59009446252794,110.66812971187831,1283687,1020.124,MI Matholiul Huda Srikandang,primary,MI Matholiul Huda Srikandang,35 Siswa,exact,35,35,35,"{""student"": 35}",,,,,"[""auto:0058da496c""]","[""https://www.suaramerdeka.com/jawa-tengah/0416003607/kasus-keracunan-di-jepara-program-makan-bergizi-gratis-tetap-jalan-pengawasan-diperketat""]","[""count_shared_across_rows""]"
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0407,id.Daftar_kasus_keracunan_massal_makan_siang_gratis,407,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0404,2025-09-23,2025-09-23,day,23 September 2025,Jawa Tengah,Jawa Tengah,Kabupaten Jepara,kabupaten,Jepara,33.20,exact,33,-6.59009446252794,110.66812971187831,1283687,1020.124,SDN 1 Banjaran,primary,SDN 1 Banjaran,35 Siswa,exact,35,35,35,"{""student"": 35}",,,,,"[""auto:0058da496c""]","[""https://www.suaramerdeka.com/jawa-tengah/0416003607/kasus-keracunan-di-jepara-program-makan-bergizi-gratis-tetap-jalan-pengawasan-diperketat""]","[""count_shared_across_rows""]"
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0408,id.Daftar_kasus_keracunan_massal_makan_siang_gratis,408,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0408,2026-08-04,2026-08-04,day,4 Agustus 2026,Jawa Tengah,Jawa Tengah,Kabupaten Jepara,kabupaten,Jepara,33.20,exact,33,-6.59009446252794,110.66812971187831,1283687,1020.124,SMPN 2 Jepara,junior_secondary,SMPN 2 Jepara,123 Orang,exact,123,123,123,"{""person"": 123}",123,,,,"[""auto:eea675f642""]","[""https://jateng.tribunnews.com/jawa-tengah/1262214/diare-dan-muntah-123-siswa-dan-guru-smpn-2-jepara-diduga-keracunan-mbg""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0409,id.Daftar_kasus_keracunan_massal_makan_siang_gratis,409,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0409,2026-09-07,2026-09-07,day,7 September 2026,Jawa Tengah,Jawa Tengah,Kabupaten Jepara,kabupaten,Jepara,33.20,exact,33,-6.59009446252794,110.66812971187831,1283687,1020.124,SDN 1 Srobyong,primary,SDN 1 Srobyong,370 Siswa + 28 Guru,exact,398,398,398,"{""student"": 370, ""teacher"": 28}",398,,,,"[""auto:fa017a819e""]","[""https://www.cirebonraya.com/nusantara/43717620491/lagi-ratusan-siswa-dan-guru-di-jepara-diduga-keracunan-massal-menu-mbg-operasional-sppg-sekuro-disetop-sementara""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0410,id.Daftar_kasus_keracunan_massal_makan_siang_gratis,410,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0409,2026-09-07,2026-09-07,day,7 September 2026,Jawa Tengah,Jawa Tengah,Kabupaten Jepara,kabupaten,Jepara,33.20,exact,33,-6.59009446252794,110.66812971187831,1283687,1020.124,SMK Nawakartika Sekuro,senior_secondary,SMK Nawakartika Sekuro,370 Siswa + 28 Guru,exact,398,398,398,"{""student"": 370, ""teacher"": 28}",,,,,"[""auto:fa017a819e""]","[""https://www.cirebonraya.com/nusantara/43717620491/lagi-ratusan-siswa-dan-guru-di-jepara-diduga-keracunan-massal-menu-mbg-operasional-sppg-sekuro-disetop-sementara""]","[""count_shared_across_rows""]"
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0411,id.Daftar_kasus_keracunan_massal_makan_siang_gratis,411,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0409,2026-09-07,2026-09-07,day,7 September 2026,Jawa Tengah,Jawa Tengah,Kabupaten Jepara,kabupaten,Jepara,33.20,exact,33,-6.59009446252794,110.66812971187831,1283687,1020.124,MA Nawakartika Sekuro,senior_secondary,MA Nawakartika Sekuro,370 Siswa + 28 Guru,exact,398,398,398,"{""student"": 370, ""teacher"": 28}",,,,,"[""auto:fa017a819e""]","[""https://www.cirebonraya.com/nusantara/43717620491/lagi-ratusan-siswa-dan-guru-di-jepara-diduga-keracunan-massal-menu-mbg-operasional-sppg-sekuro-disetop-sementara""]","[""count_shared_across_rows""]"
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0412,id.Daftar_kasus_keracunan_massal_makan_siang_gratis,412,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0412,2025-09-24,2025-09-24,day,24 September 2025,Jawa Tengah,Jawa Tengah,Kabupaten Rembang,kabupaten,Rembang,33.17,exact,33,-6.703466029933058,111.34262144071498,665501,1038.32,SMPN 1 Kragan,junior_secondary,SMPN 1 Kragan,173 Siswa,exact,173,173,173,"{""student"": 173}",173,,,,"[""auto:6a42ae1acf""]","[""https://regional.kompas.com/read/2025/09/24/164242578/173-siswa-smp-di-rembang-diduga-keracunan-mbg-13-orang-harus-rawat-inap""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0413,id.Daftar_kasus_keracunan_massal_makan_siang_gratis,413,id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0413,2026-04-21,2026-04-21,day,21 April 2026,Jawa Tengah,Jawa Tengah,Kabupaten Rembang,kabupaten,Rembang,33.17,exact,33,-6.703466029933058,111.34262144071498,665501,1038.32,SDN Balongmulyo,primary,SDN Balongmulyo,22 Siswa,exact,22,22,22,"{""student"": 22}",22,,,,"[""auto:63d293bd38""]","[""https://semarang.viva.co.id/berita/6843-diduga-keracun22-siswa-sd-di-rembang-dilarikan-ke-puskesmas-setelah-makan-menu-mbg""]",[]
