event_id,date_start,date_end,date_precision,province,kabkota,kabkota_type,kabkota_name,kabkota_kode,kabkota_lat,kabkota_lng,kabkota_population,n_rows,venues,venue_levels,symptomatic,symptomatic_min,symptomatic_max,symptomatic_kind,symptomatic_by_subject,deaths,source_urls,incident_ids,flags
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0395,2025-09-30,2025-09-30,day,Jawa Tengah,Kabupaten Wonogiri,kabupaten,Wonogiri,33.12,-7.815058364755334,110.9256844677081,1057495,2,"[""Ponpes Baitul Quran"", ""SMAN 1 Slogohimo""]","[""pesantren"", ""senior_secondary""]",131,131,131,exact,"{""student"": 131}",,"[""https://www.detik.com/jateng/berita/d-8151170/ratusan-siswa-dan-santri-di-slogohimo-wonogiri-diduga-keracunan-mbg""]","[""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0395"", ""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0396""]","[""count_shared_across_rows""]"
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0427,2025-09-30,2025-09-30,day,Jawa Tengah,Kabupaten Semarang,kabupaten,Semarang,33.22,-7.128957393445669,110.40409099653884,1088729,1,"[""SDN 01 Ungaran""]","[""primary""]",20,20,20,exact,"{""student"": 20}",,"[""https://regional.kompas.com/read/2025/09/30/142743778/20-siswa-sd-di-ungaran-diduga-keracunan-mbg""]","[""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0427""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0428,2025-09-30,2025-09-30,day,Jawa Tengah,Kabupaten Temanggung,kabupaten,Temanggung,33.23,-7.315316457103409,110.18189242537592,822880,2,"[""SMAN 2 Temanggung"", ""SMAN 3 Temanggung""]","[""senior_secondary""]",414,414,414,exact,"{""student"": 414}",,"[""https://regional.kompas.com/read/2025/10/07/162259678/414-siswa-keracunan-mbg-operasional-sppg-giyanti-temanggung-dihentikan""]","[""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0428"", ""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0429""]","[""count_shared_across_rows""]"
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0030,2025-10-01,2025-10-01,day,Sumatera Barat,Kabupaten Agam,kabupaten,Agam,13.06,-0.3151932364711986,100.02965550313753,533254,5,"[""TK (Spesifik tidak disebutkan)"", ""SD (Spesifik tidak disebutkan)"", ""MTS (Tidak diumumkan)"", ""SMP (Tidak diumumkan)"", ""TBA (Tidak diumumkan)""]","[""early_childhood"", ""junior_secondary"", ""primary""]",122,122,122,exact,"{""student"": 122}",,"[""https://www.kompas.com/sumatera-barat/read/2025/10/03/181500288/-kronologi-122-korban-keracunan-program-mbg-di-agam-diduga-akibat""]","[""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0030"", ""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0031"", ""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0032"", ""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0033"", ""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0034""]","[""count_shared_across_rows"", ""no_venue""]"
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0336,2025-10-01,2025-10-01,day,Jawa Barat,Kabupaten Bogor,kabupaten,Bogor,32.01,-6.479478948089524,106.82471731002641,5809790,1,"[""SDN 02 Pasir Angin""]","[""primary""]",3,3,3,exact,"{""student"": 3}",,"[""https://www.detik.com/jabar/bisnis/d-8139357/3-dari-107-siswa-sdn-pasir-angin-02-bogor-muntah-usai-santap-mbg""]","[""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0336""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0345,2025-10-01,2025-10-01,day,Jawa Barat,Kabupaten Pangandaran,kabupaten,Pangandaran,32.18,-7.615061099999999,108.49882690000004,447272,1,"[""MI Attarbiyah Leuwiliang""]","[""primary""]",8,8,8,exact,"{""student"": 8}",,"[""https://www.detik.com/jabar/berita/d-8139574/8-siswa-mi-di-pangandaran-diduga-keracunan-usai-santap-mbg""]","[""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0345""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0346,2025-10-01,2025-10-01,day,Jawa Barat,Kota Banjar,kota,Banjar,32.79,-7.362161223560727,108.55958988304805,209317,1,"[""SMPN 3 Banjar""]","[""junior_secondary""]",79,79,79,exact,"{""student"": 79}",,"[""https://disway.id/read/901860/79-siswa-smp-di-banjar-diduga-keracunan-mbg-41-masih-dirawat""]","[""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0346""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0551,2025-10-01,2025-10-01,day,Jawa Timur,Kabupaten Bojonegoro,kabupaten,Bojonegoro,35.22,-7.149935359747551,111.88154262537478,1366227,1,"[""SMAN 1 Kedungadem""]","[""senior_secondary""]",544,544,544,exact,"{""student"": 544}",,"[""https://beritajatim.com/ratusan-siswa-sman-1-kedungadem-bojonegoro-diduga-keracunan-usai-santap-mbg""]","[""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0551""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0572,2025-10-01,2025-10-01,day,Jawa Timur,Kabupaten Ngawi,kabupaten,Ngawi,35.21,-7.401286050830588,111.44544266770494,907002,1,"[""SMK Negeri 1 Sine""]","[""senior_secondary""]",51,51,51,exact,"{""student"": 51}",,"[""https://radarlawu.jawapos.com/nasional/2206645390/breaking-news-keracunan-massal-mbg-di-smkn-1-sine-ngawi-51-siswa-mual-hingga-kejang-dirujuk-ke-puskesmas""]","[""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0572""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0573,2025-10-01,2025-10-01,day,Jawa Timur,Kabupaten Ngawi,kabupaten,Ngawi,35.21,-7.401286050830588,111.44544266770494,907002,1,"[""MTs Muhammadiyah Sine""]","[""junior_secondary""]",5,5,5,exact,"{""student"": 5}",,"[""https://www.detik.com/jatim/berita/d-8141008/belum-selesai-keracunan-smkn-1-sine-5-siswi-mts-di-ngawi-alami-mual-mual""]","[""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0573""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0244,2025-10-02,2025-10-02,day,Jawa Barat,Kabupaten Tasikmalaya,kabupaten,Tasikmalaya,32.06,-7.361038703594784,108.11307619839148,1996059,3,"[""SMK Negeri Cipatujah"", ""SMP Negeri 4 Cipatujah"", ""Pondok Pesantren Nursyamsiah""]","[""junior_secondary"", ""pesantren"", ""senior_secondary""]",115,115,115,exact,"{""student"": 115}",,"[""https://www.detik.com/jabar/berita/d-8143212/korban-keracunan-mbg-di-tasikmalaya-tembus-115-orang""]","[""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0244"", ""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0245"", ""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0246""]","[""count_shared_across_rows""]"
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0347,2025-10-02,2025-10-02,day,Jawa Barat,Kota Bekasi,kota,Bekasi,32.75,-6.2360139577925855,106.9942480407117,2572209,1,"[""SDN Kota Baru 3 Bekasi""]","[""primary""]",6,6,6,exact,"{""student"": 6}",,"[""https://megapolitan.kompas.com/read/2025/10/02/16383171/6-siswa-sdn-kota-baru-3-bekasi-diduga-keracunan-usai-santap-mbg""]","[""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0347""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0552,2025-10-02,2025-10-02,day,Jawa Timur,Kabupaten Bojonegoro,kabupaten,Bojonegoro,35.22,-7.149935359747551,111.88154262537478,1366227,1,"[""SD Negeri Tumbrasanom""]","[""primary""]",7,7,7,exact,"{""student"": 7}",,"[""https://www.detik.com/jatim/berita/d-8141923/7-siswa-sdn-bojonegoro-dilarikan-ke-puskesmas-diduga-keracunan-mbg""]","[""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0552""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0553,2025-10-02,2025-10-02,day,Jawa Timur,Kabupaten Bojonegoro,kabupaten,Bojonegoro,35.22,-7.149935359747551,111.88154262537478,1366227,1,"[""MTs Plus Nabawi""]","[""junior_secondary""]",6,6,6,exact,"{""student"": 6}",,"[""https://blokbojonegoro.com/2025/10/02/dugaan-keracunan-massal-mbg-di-kedungadem-bojonegoro-seluruh-siswa-telah-dipulangkan/""]","[""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0553""]",[]
id.Daftar_kasus_keracunan_massal_makan_siang_gratis#e0264,2025-10-03,2025-10-03,day,Jawa Barat,Kabupaten Kuningan,kabupaten,Kuningan,32.08,-6.975864860855258,108.48310462537334,1239999,1,"[""SMP 1 Luragung""]","[""junior_secondary""]",97,97,97,exact,"{""student"": 97}",,"[""https://regional.kompas.com/read/2025/10/04/064836178/satu-hari-usai-santap-mbg-ratusan-siswa-di-kuningan-muntah-dan-diare""]","[""id.Daftar_kasus_keracunan_massal_makan_siang_gratis#r0264""]",[]
